乾球温度[℃],28.1,27.8,27.5,27.3,27.1,27.7,28.9,30.4,31.7,33.1,33.9,34.3,34.6,34.7,34.7,33.6,32.6,31.7,30.6,30,29.4,29.1,28.8,28.4
絶対湿度[g/kg],19.9,19.9,19.8,19.7,19.7,20,20.2,20.1,19.8,19.9,20.1,20.2,20.3,20.4,20.1,19.8,19.8,20,19.9,19.9,20.1,20,20,20
エンタルピ[J/g],79,78.7,78.2,77.7,77.5,78.8,80.7,82,82.5,84.3,85.6,86.2,87,87.1,86.3,84.4,83.6,82.9,81.8,81,80.9,80.4,80,79.5
夜間放射量[W/㎡],47,46,44,43,42,44,46,50,53,55,54,55,55,54,56,53,50,49,48,45,47,46,46,46
風向,SSW,S,SW,SW,WSW,SW,W,WSW,WSW,S,SSE,SSE,SSE,SSE,SSE,SSE,SSE,SSE,SSE,SSE,SSE,SSE,S,S
風速[m/s],2.3,2.1,2.1,1.8,1.9,1.7,1.8,1.7,2,2,2.8,3.3,3.5,3.9,3.7,3.5,3.5,3.4,3,2.9,2.6,2.4,2.2,2.1
太陽高度[゜],0,0,0,0,1.3,12.9,24.9,37.1,49.1,60.4,69.5,72.1,66.1,55.8,44.1,31.9,19.8,7.9,0,0,0,0,0,0
太陽方位角[゜],0,0,0,0,-111.4,-103.1,-95,-86.2,-75.7,-60.4,-33.8,9.8,47,67.7,80.5,90,98.4,106.5,0,0,0,0,0,0
直達日射量[W/㎡],0,0,0,0,0,227,387,436,466,498,503,505,481,451,421,360,271,84,0,0,0,0,0,0
天空日射量[W/㎡],0,0,0,0,3,61,117,173,217,260,284,293,293,260,215,163,88,35,0,0,0,0,0,0
