,date,DOWNWARD_LONGWAVE_RADIATION
0,1993-01-01,749.26
1,1993-02-01,628.01
2,1993-03-01,745.27
3,1993-04-01,790.25
4,1993-05-01,903.82
5,1993-06-01,989.4300000000001
6,1993-07-01,1065.18
7,1993-08-01,1091.53
8,1993-09-01,1004.21
9,1993-10-01,909.98
10,1993-11-01,813.83
11,1993-12-01,748.33
12,1994-01-01,715.74
13,1994-02-01,619.16
14,1994-03-01,768.96
15,1994-04-01,834.63
16,1994-05-01,948.13
17,1994-06-01,1001.3100000000001
18,1994-07-01,1127.53
19,1994-08-01,1110.6100000000001
20,1994-09-01,1041.06
21,1994-10-01,965.87
22,1994-11-01,750.12
23,1994-12-01,734.45
24,1995-01-01,657.17
25,1995-02-01,634.79
26,1995-03-01,796.49
27,1995-04-01,843.26
28,1995-05-01,952.99
29,1995-06-01,991.5
30,1995-07-01,1103.74
31,1995-08-01,1123.19
32,1995-09-01,995.0400000000001
33,1995-10-01,944.44
34,1995-11-01,753.51
35,1995-12-01,676.04
36,1996-01-01,696.51
37,1996-02-01,656.36
38,1996-03-01,771.51
39,1996-04-01,773.52
40,1996-05-01,894.35
41,1996-06-01,968.78
42,1996-07-01,1063.77
43,1996-08-01,1067.95
44,1996-09-01,957.62
45,1996-10-01,924.82
46,1996-11-01,829.85
47,1996-12-01,736.03
48,1997-01-01,-999.0
49,1997-02-01,-999.0
50,1997-03-01,787.4300000000001
51,1997-04-01,-999.0
52,1997-05-01,-999.0
53,1997-06-01,-999.0
54,1997-07-01,-999.0
55,1997-08-01,-999.0
56,1997-09-01,1013.6700000000001
57,1997-10-01,869.24
58,1997-11-01,-999.0
59,1997-12-01,-999.0
60,1998-01-01,682.25
61,1998-02-01,656.57
62,1998-03-01,764.16
63,1998-04-01,909.51
64,1998-05-01,994.6
65,1998-06-01,-999.0
66,1998-07-01,-999.0
67,1998-08-01,-999.0
68,1998-09-01,-999.0
69,1998-10-01,953.19
70,1998-11-01,769.29
71,1998-12-01,748.77
72,1999-01-01,669.35
73,1999-02-01,603.62
74,1999-03-01,815.7
75,1999-04-01,855.27
76,1999-05-01,933.63
77,1999-06-01,-999.0
78,1999-07-01,1108.31
79,1999-08-01,1126.6000000000001
80,1999-09-01,1066.71
81,1999-10-01,938.28
82,1999-11-01,797.4300000000001
83,1999-12-01,711.23
84,2000-01-01,747.53
85,2000-02-01,631.57
86,2000-03-01,735.38
87,2000-04-01,823.48
88,2000-05-01,955.08
89,2000-06-01,1002.5400000000001
90,2000-07-01,1101.1000000000001
91,2000-08-01,1115.23
92,2000-09-01,1029.57
93,2000-10-01,959.76
94,2000-11-01,850.23
95,2000-12-01,724.13
96,2001-01-01,681.04
97,2001-02-01,651.84
98,2001-03-01,779.4300000000001
99,2001-04-01,825.82
100,2001-05-01,951.9200000000001
101,2001-06-01,1017.58
102,2001-07-01,1104.56
103,2001-08-01,1114.14
104,2001-09-01,1005.8000000000001
105,2001-10-01,928.32
106,2001-11-01,771.23
107,2001-12-01,713.14
108,2002-01-01,703.25
109,2002-02-01,661.74
110,2002-03-01,801.6
111,2002-04-01,855.39
112,2002-05-01,945.47
113,2002-06-01,981.21
114,2002-07-01,1121.33
115,2002-08-01,1101.49
116,2002-09-01,1010.49
117,2002-10-01,922.22
118,2002-11-01,759.9300000000001
119,2002-12-01,746.0500000000001
120,2003-01-01,682.28
121,2003-02-01,658.39
122,2003-03-01,752.74
123,2003-04-01,852.75
124,2003-05-01,950.34
125,2003-06-01,1019.22
