年月日,全天日射量,R_GRD
1993-01-31,229.43,892.1444130218514
1993-02-28,340.24,818.9232534034875
1993-03-31,445.53,926.6417479459722
1993-04-30,473.86,956.8603075538166
1993-05-31,570.05,1061.4652205692992
1993-06-30,435.8,1085.2723983847193
1993-07-31,332.11,1132.2324788701337
1993-08-31,395.39,1171.062892249602
1993-09-30,341.22,1098.8913989492917
1993-10-31,330.55,1047.598879336957
1993-11-30,257.32,959.0756701340179
1993-12-31,238.18,915.5831168877485
1994-01-31,286.57,876.3762775582446
1994-02-28,381.01,808.308227723643
1994-03-31,456.35,921.6027428030153
1994-04-30,582.37,994.3735923658135
1994-05-31,580.93,1084.3631739359284
1994-06-30,424.06,1093.6695730207985
1994-07-31,585.85,1219.26122903788
1994-08-31,588.97,1237.5174887297367
1994-09-30,322.17,1132.0356929280165
1994-10-31,283.78,1091.11132273568
1994-11-30,268.67,946.3855391990581
1994-12-31,251.31,914.3544145075398
1995-01-31,297.51,882.0669346876449
1995-02-28,330.76,804.5389275353393
1995-03-31,380.74,933.852534729085
1995-04-30,479.59000000000003,989.7182620043086
1995-05-31,488.43,1081.2053219433938
1995-06-30,383.34,1067.8591163980461
1995-07-31,426.15,1193.3583354177952
1995-08-31,606.28,1235.7072556076275
1995-09-30,403.85,1107.170450762911
1995-10-31,356.8,1076.2685241151269
1995-11-30,323.04,929.6834604274767
1995-12-31,320.07,893.3228315195543
1996-01-31,316.48,884.8027623275201
1996-02-29,367.06,823.4802267618225
1996-03-31,431.04,935.0535297586547
1996-04-30,535.69,949.1977169263921
1996-05-31,545.32,1061.7500433057137
1996-06-30,450.23,1089.4846096318058
1996-07-31,558.2,1190.6813575050573
1996-08-31,524.16,1187.5706297157328
1996-09-30,409.94,1087.736024979517
1996-10-31,337.32,1054.4796364062277
1996-11-30,223.08,948.9744043501229
1996-12-31,279.0,916.8735261641174
1997-01-31,345.55,883.5182390200765
1997-02-28,369.56,813.5477804974817
1997-03-31,434.88,953.9731974237125
1997-04-30,493.14,987.4437010169802
1997-05-31,524.86,1079.2333925231426
1997-06-30,525.03,1104.5031222172856
1997-07-31,575.26,1195.6719352738185
1997-08-31,505.03,1200.258520401937
1997-09-30,342.12,1104.754830811975
1997-10-31,418.27,1054.3115236905667
1997-11-30,263.54,964.3788820356359
1997-12-31,242.55,922.729530738319
1998-01-31,269.28000000000003,872.7187601893091
1998-02-28,302.65,814.8068347091446
1998-03-31,461.7,946.2596074684767
1998-04-30,369.8,1004.1953255690761
1998-05-31,495.5,1101.40693144731
1998-06-30,383.15,1081.8901307474518
1998-07-31,452.8,1176.3582060074084
1998-08-31,377.02,1202.811590457817
1998-09-30,336.44,1127.292866243808
1998-10-31,298.74,1092.7017174990979
1998-11-30,285.8,946.5005704386608
1998-12-31,240.72,912.7985495107339
1999-01-31,323.79,887.1087836468968
1999-02-28,362.36,803.1035739683734
1999-03-31,357.78,948.6057411497479
1999-04-30,447.51,987.4323747099643
1999-05-31,565.62,1090.7481136388906
