年月日,時間,気圧（現地）,気圧（海面）,降水量,気温,露点温度,蒸気圧,湿度,風速,風向,日照時間,全天日射量,降雪,積雪
1993-01-01,1,1019.4,1023.3,0,-2.9,-6.7,3.7,75.0,1.7,0,0,0,0,0
1993-01-01,2,1019.7,1023.6,0,-3.4,-6.0,3.9,82.0,1.3,0,0,0,0,0
1993-01-01,3,1019.9,1023.8,0,-3.8,-5.7,4.0,87.0,0.4,0,0,0,0,0
1993-01-01,4,1020.2,1024.2,0,-4.4,-6.0,3.9,89.0,0.2,0,0,0,0,0
1993-01-01,5,1020.6,1024.6,0,-4.9,-6.6,3.7,88.0,0.2,0,0,0,0,0
1993-01-01,6,1021.2,1025.2,0,-5.4,-6.9,3.7,89.0,0.2,0,0,0,0,0
1993-01-01,7,1021.9,1025.9,0,-5.3,-7.1,3.6,87.0,1.4,0,0,0.01,0,0
1993-01-01,8,1022.8,1026.7,0,-2.6,-4.9,4.3,84.0,1.3,0,0.7,0.26,0,0
1993-01-01,9,1023.4,1027.3,0,2.1,-4.7,4.3,61.0,0.6,0,1.0,0.81,0,0
1993-01-01,10,1023.4,1027.2,0,5.2,-4.5,4.4,50.0,1.6,0,1.0,1.33,0,0
1993-01-01,11,1023.1,1026.9,0,7.3,-4.7,4.3,42.0,2.4,0,1.0,1.7,0,0
1993-01-01,12,1022.0,1025.8,0,8.1,-5.2,4.2,38.0,1.3,0,1.0,1.87,0,0
1993-01-01,13,1021.4,1025.2,0,8.2,-5.6,4.0,37.0,1.7,0,1.0,1.8,0,0
1993-01-01,14,1021.2,1025.0,0,9.2,-6.5,3.8,32.0,1.5,0,1.0,1.54,0,0
1993-01-01,15,1021.4,1025.2,0,8.7,-6.5,3.8,33.0,1.4,0,1.0,1.07,0,0
1993-01-01,16,1022.0,1025.8,0,8.0,-5.6,4.0,38.0,2.3,0,1.0,0.49,0,0
1993-01-01,17,1022.7,1026.5,0,3.4,-4.8,4.3,55.0,1.6,0,0.2,0.06,0,0
1993-01-01,18,1023.4,1027.2,0,3.6,-4.7,4.3,55.0,2.5,0,0,0.0,0,0
1993-01-01,19,1023.9,1027.8,0,2.3,-4.9,4.3,59.0,2.4,0,0,0,0,0
1993-01-01,20,1023.8,1027.7,0,0.4,-5.2,4.2,66.0,1.8,0,0,0,0,0
1993-01-01,21,1024.0,1027.9,0,1.5,-4.3,4.4,65.0,2.3,0,0,0,0,0
1993-01-01,22,1024.0,1027.9,0,1.1,-3.9,4.6,69.0,2.0,0,0,0,0,0
1993-01-01,23,1024.2,1028.1,0,-1.3,-4.7,4.3,78.0,1.8,0,0,0,0,0
1993-01-01,24,1024.1,1028.0,0,-1.9,-5.0,4.2,79.0,2.6,0,0,0,0,0
1993-01-02,1,1023.4,1027.3,0,-2.1,-4.5,4.4,84.0,2.2,0,0,0,0,0
1993-01-02,2,1023.4,1027.3,0,-1.3,-3.9,4.6,83.0,0.0,0,0,0,0,0
1993-01-02,3,1022.8,1026.7,0,-0.4,-3.5,4.7,80.0,1.1,0,0,0,0,0
1993-01-02,4,1022.6,1026.5,0,-1.2,-3.5,4.7,84.0,1.2,0,0,0,0,0
1993-01-02,5,1022.5,1026.4,0,-1.2,-3.9,4.6,82.0,2.5,0,0,0,0,0
1993-01-02,6,1022.4,1026.3,0,-1.3,-3.9,4.6,83.0,2.0,0,0,0,0,0
1993-01-02,7,1021.9,1025.8,0,-0.8,-3.6,4.7,81.0,2.1,0,0,0.01,0,0
1993-01-02,8,1021.9,1025.8,0,0.3,-2.9,4.9,79.0,1.9,0,0,0.13,0,0
1993-01-02,9,1021.7,1025.6,0,1.2,-2.4,5.1,77.0,1.6,0,0,0.23,0,0
1993-01-02,10,1021.4,1025.3,0.0,2.1,-1.9,5.3,75.0,1.8,0,0,0.21,0,0
1993-01-02,11,1020.0,1023.8,0.0,3.1,0.6,6.4,84.0,2.7,0,0,0.27,0,0
1993-01-02,12,1018.3,1022.1,0.0,4.2,0.7,6.4,78.0,1.6,0,0,0.53,0,0
1993-01-02,13,1016.7,1020.5,0,6.2,1.9,7.0,74.0,2.2,0,0,0.78,0,0
1993-01-02,14,1016.1,1019.9,0,7.6,3.2,7.7,74.0,1.0,0,0,0.56,0,0
1993-01-02,15,1015.8,1019.5,0,8.7,2.3,7.2,64.0,1.9,0,0,0.58,0,0
1993-01-02,16,1016.0,1019.8,0,8.1,1.1,6.6,61.0,1.4,0,0.6,0.43,0,0
1993-01-02,17,1016.0,1019.8,0,4.4,1.2,6.7,80.0,1.7,0,0.1,0.06,0,0
1993-01-02,18,1015.8,1019.6,0,2.7,0.9,6.5,88.0,1.6,0,0,0.0,0,0
1993-01-02,19,1016.4,1020.2,0,2.9,0.9,6.5,87.0,0.3,0,0,0,0,0
1993-01-02,20,1016.2,1020.0,0,1.6,0.3,6.2,91.0,2.4,0,0,0,0,0
1993-01-02,21,1016.3,1020.2,0,0.7,0.1,6.2,96.0,2.4,0,0,0,0,0
1993-01-02,22,1016.0,1019.9,0,0.2,-0.4,5.9,96.0,1.0,0,0,0,0,0
1993-01-02,23,1016.2,1020.1,0,-1.3,-1.9,5.3,96.0,1.4,0,0,0,0,0
1993-01-02,24,1016.0,1019.9,0,-1.8,-2.3,5.2,96.0,1.8,0,0,0,0,0
1993-01-03,1,1016.2,1020.1,0,-2.1,-2.7,5.0,96.0,1.5,0,0,0,0,0
1993-01-03,2,1015.8,1019.7,0,-2.6,-3.0,4.9,97.0,1.4,0,0,0,0,0
1993-01-03,3,1015.6,1019.5,0,-2.5,-3.2,4.8,95.0,1.7,0,0,0,0,0
